Deputado;perfil;link
giovani feltes;@GiovaniFeltes;https://twitter.com/GiovaniFeltes
glauber braga;@Glauber_Braga;https://twitter.com/Glauber_Braga
glaustin fokus;@glaustinfokus;https://twitter.com/glaustinfokus
gleisi hoffmann;@gleisi;https://twitter.com/gleisi
guiga peixoto;@zeguilherme_10;https://twitter.com/zeguilherme_10
guilherme mussi;@GuilhermeMussi;https://twitter.com/GuilhermeMussi
gurgel;@GurgelSoares;https://twitter.com/GurgelSoares
gustavo fruet;@gustavofruet;https://twitter.com/gustavofruet
gustinho ribeiro;@GustinhoRibeiro;https://twitter.com/GustinhoRibeiro
gutemberg reis;@guth_reis;https://twitter.com/guth_reis
heitor freire;@HeitorFreireCE;https://twitter.com/HeitorFreireCE
heitor schuch;@HeitorSchuch;https://twitter.com/HeitorSchuch
helder salomão;@heldersalomao;https://twitter.com/heldersalomao
helio lopes;@depheliolopes;https://twitter.com/depheliolopes
henrique fontana;@HenriqueFontana;https://twitter.com/HenriqueFontana
herculano passos;@herculanopassos;https://twitter.com/herculanopassos
hildo rocha;@hildorocha1513;https://twitter.com/hildorocha1513
hiran gonçalves;@deputadohiran;https://twitter.com/deputadohiran
hugo leal;@depHugoLeal;https://twitter.com/depHugoLeal
hugo motta;@HugoMottaPB;https://twitter.com/HugoMottaPB
idilvan alencar;@IdilvanAlencar;https://twitter.com/IdilvanAlencar
igor timo;@oficialigortimo;https://twitter.com/oficialigortimo
igor kannário;@Igor_Kannario;https://twitter.com/Igor_Kannario
iracema portella;@iracemaportela;https://twitter.com/iracemaportela
isnaldo bulhões jr.;@bulhoesjr;https://twitter.com/bulhoesjr
ivan valente;@IvanValente;https://twitter.com/IvanValente
jandira feghali;@jandira_feghali;https://twitter.com/jandira_feghali
júlio cesar;@DepJulioCesarPI;https://twitter.com/DepJulioCesarPI
júlio delgado;@depjuliodelgado;https://twitter.com/depjuliodelgado
júnior bozzella;@juniorbozzella;https://twitter.com/juniorbozzella
jaqueline cassol;@jqcassol;https://twitter.com/jqcassol
jefferson campos;@DepJefferson;https://twitter.com/DepJefferson
jerônimo goergen;@jeronimogoergen;https://twitter.com/jeronimogoergen
jhc;@JHC_40;https://twitter.com/JHC_40
jhonatan de jesus;@jhonatan_djesus;https://twitter.com/jhonatan_djesus
jesus sérgio;@joaocamposdep;https://twitter.com/joaocamposdep
joão daniel;@depjoaodanielpt;https://twitter.com/depjoaodanielpt
joão maia;@depjoaomaia;https://twitter.com/depjoaomaia
joão roma;@joaoromaneto;https://twitter.com/joaoromaneto
joaquim passarinho;@depjpassarinho;https://twitter.com/depjpassarinho
joenia wapichana;@JoeniaWapichana;https://twitter.com/JoeniaWapichana
joice hasselmann;@joicehasselmann;https://twitter.com/joicehasselmann
jorge braz;@Jorge_Braz;https://twitter.com/Jorge_Braz
jorge solla;@depjorgesolla;https://twitter.com/depjorgesolla
josé medeiros;@JoseMedeirosMT;https://twitter.com/JoseMedeirosMT
josé airton félix cirilo;@JoseAirtonPT;https://twitter.com/JoseAirtonPT
josé guimarães;@guimaraes13PT;https://twitter.com/guimaraes13PT
josé nelto;@depjosenelto;https://twitter.com/depjosenelto
josé nunes;@JoseNunesDep;https://twitter.com/JoseNunesDep
josé priante;@priante;https://twitter.com/priante
josé ricardo;@ZeRicardoAM;https://twitter.com/ZeRicardoAM
joseildo ramos;@joseildoramos;https://twitter.com/joseildoramos
josimar maranhãozinho;@josimarPR22;https://twitter.com/josimarPR22
julian lemos;@LemosFederal;https://twitter.com/LemosFederal
julio cesar ribeiro;@JulioCesarRib;https://twitter.com/JulioCesarRib
juninho do pneu;@JuninhodoPneu;https://twitter.com/JuninhodoPneu
juscelino filho;@DepJuscelino;https://twitter.com/DepJuscelino
policial katia sastre;@KatiaSastre;https://twitter.com/KatiaSastre
kim kataguiri;@kimpkat;https://twitter.com/kimpkat
léo motta;@leomotta_ofc;https://twitter.com/leomotta_ofc
lídice da mata;@lidicedamata;https://twitter.com/lidicedamata
laercio oliveira;@LaercioFederal;https://twitter.com/LaercioFederal
lafayette de andrada;@lafayetteandrad;https://twitter.com/lafayetteandrad
lauriete;@laurietecantora;https://twitter.com/laurietecantora
leônidas cristino;@joseleonidas;https://twitter.com/joseleonidas
leandre;@leandredaideal;https://twitter.com/leandredaideal
leda sadala;@LedaSadala;https://twitter.com/LedaSadala
leonardo monteiro;@depleomonteiro;https://twitter.com/depleomonteiro
leur lomanto júnior;@LeurLomantoJr;https://twitter.com/LeurLomantoJr
lincoln portela;@lincoln_portela;https://twitter.com/lincoln_portela
liziane bayer;@LizianeBayer;https://twitter.com/LizianeBayer
loester trutis;@LTrutis;https://twitter.com/LTrutis
lourival gomes;@LourivalGomesrj;https://twitter.com/LourivalGomesrj
luisa canziani;@luisa_canziani;https://twitter.com/luisa_canziani
lucas gonzalez;@lucasvgonzalez;https://twitter.com/lucasvgonzalez
lucas redecker;@LucasRedecker;https://twitter.com/LucasRedecker
lucas vergilio;@VergilioLucas77;https://twitter.com/VergilioLucas77
luciano bivar;@Bivar1717;https://twitter.com/Bivar1717
luciano ducci;@LucianoDucci;https://twitter.com/LucianoDucci
lucio mosquini;@luciomosquini;https://twitter.com/luciomosquini
luis miranda;@LuisMirandaUSA1;https://twitter.com/LuisMirandaUSA1
luis tibé;@LuisTibeOficial;https://twitter.com/LuisTibeOficial
dr. Antonio teixeira jr.;@drluizantoniojr;https://twitter.com/drluizantoniojr
luiz carlos motta;@lcm_motta;https://twitter.com/lcm_motta
luiz flávio gomes;@professorLFG;https://twitter.com/professorLFG
luiz lima;@Oficialluizlima;https://twitter.com/Oficialluizlima
luiz nishimori;@LuizNishimori;https://twitter.com/LuizNishimori
luiz philippe de orleans e bragança;@lpbragancabr;https://twitter.com/lpbragancabr
luiza erundina;@luizaerundina;https://twitter.com/luizaerundina
luizão goulart;@luizaogoulart;https://twitter.com/luizaogoulart
luizianne lins;@Luizianne13PT;https://twitter.com/Luizianne13PT
marcon;@depmarcon;https://twitter.com/depmarcon
márcio biolchi;@marciobiolchi;https://twitter.com/marciobiolchi
márcio jerry;@marciojerry;https://twitter.com/marciojerry
