Deputado;perfil;link
augusto coutinho;@dep_acoutinho;https://twitter.com/dep_acoutinho
áurea carolina;@aureacarolinax;https://twitter.com/aureacarolinax
aureo ribeiro;@AureoRibeiroRJ;https://twitter.com/AureoRibeiroRJ
bacelar;@DeputadoBacelar;https://twitter.com/DeputadoBacelar
baleia rossi;@Baleia_Rossi;https://twitter.com/Baleia_Rossi
benedita da silva;@dasilvabenedita;https://twitter.com/dasilvabenedita
benes leocádio;@benesleocadiorn;https://twitter.com/benesleocadiorn
beto faro;@BetoFaroPT;https://twitter.com/BetoFaroPT
beto pereira;@betopereirams;https://twitter.com/betopereirams
beto rosado;@BetoRosado;https://twitter.com/BetoRosado
bia cavassa;@BiaCavassa;https://twitter.com/BiaCavassa
bia kicis;@Biakicis;https://twitter.com/Biakicis
bibo nunes;@bibonunes1;https://twitter.com/bibonunes1
bilac pinto;@depbilacpinto;https://twitter.com/depbilacpinto
bira do pindaré;@BiradoPindare;https://twitter.com/BiradoPindare
boca aberta;@BocaAbertaOf;https://twitter.com/BocaAbertaOf
bohn gass;@BohnGass;https://twitter.com/BohnGass
bosco costa;@BoscoCosta_SE;https://twitter.com/BoscoCosta_SE
bosco saraiva;@boscosaraiva;https://twitter.com/boscosaraiva
bruna furlan;@DepBrunaFurlan;https://twitter.com/DepBrunaFurlan
cássio andrade;@Cassio_4011;https://twitter.com/Cassio_4011
célio moura;@CelioMouraTO;https://twitter.com/CelioMouraTO
célio silveira;@csilveira4599;https://twitter.com/csilveira4599
célio studart;@CelioStudart;https://twitter.com/CelioStudart
junio amaral;@cabojunioamaral;https://twitter.com/cabojunioamaral
cacá leão;@CacaLeao;https://twitter.com/CacaLeao
camilo capiberibe;@CamiloPSB;https://twitter.com/CamiloPSB
capitão alberto neto;@capalbertoneto;https://twitter.com/capalbertoneto
capitão augusto;@capitao_augusto;https://twitter.com/capitao_augusto
capitão wagner;@capitao_wagner;https://twitter.com/capitao_wagner
carla zambelli;@CarlaZambelli17;https://twitter.com/CarlaZambelli17
carlos chiodini;@carloschiodini;https://twitter.com/carloschiodini
carlos henrique gaguim;@Carlos_Gaguim;https://twitter.com/Carlos_Gaguim
carlos gomes;@carlosgomesdep;https://twitter.com/carlosgomesdep
carlos jordy;@carlosjordy;https://twitter.com/carlosjordy
carlos sampaio;@carlossampaio_;https://twitter.com/carlossampaio_
carlos veras;@carlosveraspt;https://twitter.com/carlosveraspt
carlos zarattini;@CarlosZarattini;https://twitter.com/CarlosZarattini
carmen zanotto;@carmenzanotto;https://twitter.com/carmenzanotto
caroline de toni;@CarolDeToni;https://twitter.com/CarolDeToni
celina leão;@celinaleao;https://twitter.com/celinaleao
celso maldaner;@maldaner_celso;https://twitter.com/maldaner_celso
celso russomanno;@celsorussomanno;https://twitter.com/celsorussomanno
celso sabino;@depcelsosabino;https://twitter.com/depcelsosabino
cezinha de madureira;@Czmadureira;https://twitter.com/Czmadureira
charles fernandes;@Charles_Federal;https://twitter.com/Charles_Federal
charlles evangelista;@charllesevg;https://twitter.com/charllesevg
chico d'angelo;@chico_dangelo;https://twitter.com/chico_dangelo
chiquinho brazão;@BrazaoChiquinho;https://twitter.com/BrazaoChiquinho
chris tonietto;@ToniettoChris;https://twitter.com/ToniettoChris
